CROYDONMAQ INDUSTRIAL LTDA
SALDO DE MAQUINAS EM ESTOQUE EM 11/09/2013   HORA: 11:16:55
S I G L A          ;DESCRICAO                                    ;  SALDO
SFCE-G0249-600     ;SAND. CONJ. ESTRIADA CHAPA DE FERRO A GAS    ;     12
SFSE-10201-670     ;SAND. ESTRIADA CH.FERRO 2200W 127V CERTIF.   ;      2
SFSE-20202-652     ;SAND. CH.FERRO ESTRIADA 3200W 220V CERTIF.   ;     11
SFSE-G0248-600     ;SAND. ESTRIADA CHAPA DE FERRO A GAS          ;     10
SFSL-20200-604     ;SAND. CH.FERRO LISA 3200W 220V               ;      3
SFSL-20200-650     ;SAND. CH.FERRO LISA 3200W 220V CERTIF.       ;      2
SFSL-G0263-600     ;SAND.FERRO CHAPA LISA A GAS                  ;     10
SLA2-16525-650     ;SUPER LIQUIDIFICADOR CROYDON 02LTS 127V 60HZ ;     23
SLA2-26526-650     ;SUPER LIQUIDIFICADOR CROYDON 02LTS 220V 60HZ ;     19
SPEC-G0363-600     ;SANDUICHEIRA PEQUENA ESTAMPADA               ;      9
SPSE-10286-670     ;SAND. PEQ. SIMPLES ESTRIADA 1700W 127V CERT. ;      7
SPSE-20287-651     ;SAND. PEQ. SIMPLES ESTRIADA 1800W 220V CERT. ;     19
SPSE-20287-680     ;SAND. PEQ. SIMPLES ESTRIADA 1800W 220V CERT. ;      3
SPSL-10284-651     ;SAND. PEQ. SIMPLES LISA 1700W 127V CERT.     ;     15
SPSL-10284-670     ;SAND. PEQ. SIMPLES LISA 1700W 127V CERT.     ;      4
SPSL-20285-650     ;SAND. PEQ. SIMPLES LISA 1800W 220V CERT.     ;     23
SPSL-20285-671     ;SAND. PEQ. SIMPLES LISA 1800W 220V CERT.     ;      1
SSGE-G0261-600     ;SAND.ALUM. GRANDE ESTRIADA A GAS             ;      5
SSGE-G0261-601     ;SAND.ALUM. GRANDE ESTRIADA A GAS             ;      2
SSGL-10163-650     ;SAND. SIMPLES GRANDE LISA 1550W 127V CERTIF. ;      3
SSGL-20164-652     ;SAND. SIMPLES GRANDE LISA 3200W 220V CERTIF. ;     12
SSGL-G0218-602     ;SAND. SIMPLES GRANDE GAS                     ;      9
TFAP-G0123-601     ;TACHO DE FRITURA 7LTS A GAS ALTA PRESAO      ;      6
TFGC-G0122-602     ;TACHO DE FRITURA 7 LTS A GAS                 ;     29
TFSL-20121-652     ;TACHO DE FRIT. CROYDON 7 Lts 3000W 220V      ;     18
